,year,month,day,num1,num2,num3,num4,num5,num6,numzz
176,1959,03,01,2,18,21,33,37,46,
177,1959,03,08,1,10,11,16,36,39,
178,1959,03,15,14,21,29,37,40,48,
179,1959,03,22,5,19,26,34,43,49,
180,1959,03,29,7,10,16,23,35,49,
181,1959,04,05,2,18,19,23,35,39,
182,1959,04,12,2,28,33,39,42,48,
183,1959,04,19,4,16,20,22,28,46,
184,1959,04,26,1,8,14,15,21,40,
185,1959,05,03,5,7,30,31,35,46,
186,1959,05,10,14,19,22,42,43,44,
187,1959,05,17,1,7,27,41,46,49,
188,1959,05,24,1,4,5,19,28,41,
189,1959,05,31,8,17,22,25,44,49,
190,1959,06,07,10,11,21,23,42,44,
191,1959,06,14,17,19,28,30,32,41,
192,1959,06,21,10,23,24,28,35,42,
193,1959,06,28,3,4,21,34,42,43,
194,1959,07,05,2,9,18,36,44,49,
195,1959,07,12,23,25,29,31,35,46,
196,1959,07,19,2,9,13,26,40,46,
197,1959,07,26,14,30,31,34,38,48,
198,1959,08,02,6,14,24,37,45,48,
199,1959,08,09,9,11,26,33,35,36,
200,1959,08,16,9,13,15,16,28,31,
201,1959,08,23,2,13,19,31,41,42,
202,1959,08,30,11,14,16,33,35,36,
203,1959,09,06,3,8,9,18,26,29,
204,1959,09,13,1,9,15,16,23,44,
205,1959,09,20,11,26,31,45,46,48,
206,1959,09,27,1,9,22,24,30,32,
207,1959,10,04,15,16,17,19,21,29,
208,1959,10,11,5,6,17,31,34,39,
209,1959,10,18,2,11,19,38,40,45,
210,1959,10,25,6,18,19,26,29,39,
211,1959,11,01,12,18,25,29,33,37,
212,1959,11,08,19,20,31,36,38,45,
213,1959,11,15,3,7,23,29,35,37,
214,1959,11,22,4,15,23,38,43,47,
215,1959,11,29,3,4,5,14,34,49,
216,1959,12,06,1,2,20,21,29,37,
217,1959,12,13,5,14,20,32,43,45,
218,1959,12,20,20,22,25,27,40,42,
219,1959,12,27,8,17,25,31,47,48,
220,1960,01,03,9,39,40,42,43,48,
221,1960,01,10,22,27,28,33,36,41,
222,1960,01,17,7,14,15,24,33,49,
223,1960,01,24,22,37,42,43,45,48,
224,1960,01,31,4,29,30,40,41,49,
225,1960,02,07,8,13,20,33,41,48,
226,1960,02,14,10,12,22,26,28,45,
227,1960,02,21,1,12,14,25,26,45,
228,1960,02,28,3,4,12,13,20,24,
229,1960,03,06,2,6,25,34,44,48,
230,1960,03,13,19,28,32,41,43,46,
231,1960,03,20,26,33,43,45,47,48,
232,1960,03,27,4,5,19,22,32,42,
233,1960,04,03,9,10,22,25,30,47,
234,1960,04,10,3,7,15,39,43,47,
235,1960,04,18,3,17,36,39,44,48,
236,1960,04,24,4,17,25,33,40,42,
237,1960,05,01,12,14,22,35,39,45,
238,1960,05,08,3,9,28,32,33,41,
239,1960,05,15,7,14,22,36,41,46,
240,1960,05,22,6,8,14,28,32,36,
241,1960,05,29,2,26,28,29,32,39,
242,1960,06,06,24,31,32,40,44,48,
243,1960,06,12,10,15,24,27,31,34,
244,1960,06,19,14,19,24,31,40,41,
245,1960,06,26,8,10,13,27,39,49,
246,1960,07,03,4,17,21,23,34,49,
247,1960,07,10,15,16,21,23,35,43,
248,1960,07,17,12,20,22,29,30,49,
249,1960,07,24,4,13,22,23,29,44,
250,1960,07,31,5,18,25,32,33,38,
251,1960,08,07,13,27,34,35,43,48,
252,1960,08,14,4,7,14,25,30,38,
253,1960,08,21,6,10,11,12,19,43,
254,1960,08,28,12,24,28,31,37,39,
255,1960,09,04,11,22,27,45,46,48,
256,1960,09,11,23,25,32,41,42,46,
257,1960,09,18,3,19,22,25,29,45,
258,1960,09,25,7,8,17,18,33,48,
259,1960,10,02,3,4,12,16,19,31,
260,1960,10,09,12,20,24,30,38,45,
261,1960,10,16,5,14,22,25,29,38,
262,1960,10,23,5,6,18,29,31,48,
263,1960,10,30,8,24,35,41,47,49,
264,1960,11,06,3,9,10,18,19,24,
265,1960,11,13,4,15,20,30,41,47,
266,1960,11,20,13,14,19,33,36,42,
267,1960,11,27,1,14,20,27,46,47,
268,1960,12,04,3,4,5,13,18,22,
269,1960,12,11,12,23,24,26,32,34,
270,1960,12,18,1,5,8,45,46,47,
271,1960,12,26,8,20,36,40,42,47,
272,1961,01,01,8,11,15,27,42,49,
273,1961,01,08,10,13,20,30,38,39,
274,1961,01,15,10,14,16,23,35,37,
275,1961,01,22,4,6,15,38,47,49,
276,1961,01,29,6,10,18,37,45,47,
277,1961,02,05,15,16,18,25,37,43,
278,1961,02,12,5,16,32,38,41,42,
279,1961,02,19,5,13,15,36,44,49,
280,1961,02,26,6,13,18,26,35,36,
281,1961,03,05,1,2,8,9,25,28,
282,1961,03,12,8,13,21,24,26,28,
283,1961,03,19,2,32,34,40,41,48,
284,1961,03,26,6,7,9,12,15,40,
285,1961,04,03,6,9,32,33,38,40,
286,1961,04,09,3,17,20,21,26,31,
287,1961,04,16,4,23,27,28,29,38,
288,1961,04,23,15,16,17,30,38,40,
289,1961,04,30,1,8,19,23,40,46,
290,1961,05,07,3,18,22,27,34,39,
291,1961,05,14,5,7,18,21,22,43,
292,1961,05,22,7,9,21,31,35,45,
293,1961,05,28,14,24,41,43,45,48,
294,1961,06,04,1,2,11,15,36,41,
295,1961,06,11,2,5,25,29,39,47,
296,1961,06,18,5,9,21,22,34,47,
297,1961,06,25,14,23,28,29,36,40,
298,1961,07,02,1,17,25,29,37,42,
299,1961,07,09,1,11,18,25,26,33,
300,1961,07,16,1,2,19,32,42,48,
301,1961,07,23,3,5,15,28,42,43,
302,1961,07,30,2,12,35,41,47,49,
303,1961,08,06,12,15,25,28,32,43,
304,1961,08,13,9,12,23,28,31,38,
305,1961,08,20,9,25,31,33,34,48,
306,1961,08,27,11,15,17,18,33,44,
307,1961,09,03,2,10,15,20,32,35,
308,1961,09,10,5,11,13,15,16,29,
309,1961,09,17,1,10,20,27,37,49,
310,1961,09,24,5,7,10,13,16,18,
311,1961,10,01,4,14,23,29,33,36,
312,1961,10,08,1,4,31,33,35,48,
313,1961,10,15,7,12,14,17,19,44,
314,1961,10,22,25,31,40,45,47,48,
315,1961,10,29,4,16,22,33,35,40,
316,1961,11,05,5,6,9,33,41,44,
317,1961,11,12,11,12,18,27,33,49,
318,1961,11,19,8,13,14,30,32,44,
319,1961,11,26,1,2,20,37,39,40,
320,1961,12,03,7,8,16,17,25,27,
321,1961,12,10,5,10,23,29,39,47,
322,1961,12,17,5,13,21,25,32,49,
323,1961,12,26,4,22,31,32,36,42,
324,1961,12,31,1,2,9,24,26,27,
325,1962,01,07,1,11,20,33,35,37,
326,1962,01,14,9,12,19,22,26,27,
327,1962,01,21,3,5,33,37,45,47,
328,1962,01,28,5,20,37,41,48,49,
329,1962,02,04,7,17,25,26,33,44,
330,1962,02,11,9,18,23,27,29,40,
331,1962,02,18,14,28,31,33,39,42,
332,1962,02,25,9,11,29,32,36,38,
333,1962,03,04,2,17,19,25,45,48,
334,1962,03,11,4,19,21,33,43,45,
335,1962,03,18,1,12,14,16,21,22,
336,1962,03,25,24,25,27,38,44,45,
337,1962,04,01,10,12,26,28,32,35,
338,1962,04,08,4,9,10,25,27,32,
339,1962,04,15,4,24,37,39,44,46,
340,1962,04,23,7,29,35,36,39,42,
341,1962,04,29,21,27,34,45,48,49,
342,1962,05,06,12,13,17,28,44,47,
343,1962,05,13,3,4,10,34,40,47,
344,1962,05,20,1,19,26,27,32,48,
345,1962,05,27,2,3,11,25,27,35,
346,1962,06,03,15,19,22,25,31,33,
347,1962,06,11,13,19,23,29,36,38,
348,1962,06,17,2,13,23,25,27,34,
349,1962,06,24,6,10,15,18,30,48,
350,1962,07,01,10,14,17,32,33,36,
351,1962,07,08,10,13,15,16,24,46,
352,1962,07,15,9,13,28,35,46,47,
353,1962,07,22,2,6,11,12,38,40,
354,1962,07,29,1,4,14,26,44,48,
355,1962,08,05,6,33,35,39,45,47,
356,1962,08,12,3,8,17,19,43,48,
357,1962,08,19,10,11,23,30,41,44,
